title,start_date,rating_count,rating_avg,animeId,animeIdx
Haikyuu!! Second Season,2015-10-04,1454,8.97,1,0
Shigatsu wa Kimi no Uso,2014-10-10,546,5.40,2,1
Made in Abyss,2017-07-07,0,,3,2
Fullmetal Alchemist: Brotherhood,2009-04-05,1,10.00,4,3
Kizumonogatari III: Reiketsu-hen,,168,8.26,5,4
Mob Psycho 100 II,2019-01-07,520,8.38,6,5
Sen to Chihiro no Kamikakushi,,60,7.13,7,6
Kimetsu no Yaiba,2019-04-06,8,7.00,8,7
Owarimonogatari 2nd Season,2017-08-12,535,5.44,9,8
Code Geass: Hangyaku no Lelouch R2,2008-04-06,543,5.38,10,9
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,2016-10-08,536,5.76,11,10
Gintama.,2017-01-09,534,5.47,12,11
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,,546,5.55,13,12
Gintama,2006-04-04,541,5.63,14,13
Clannad: After Story,2008-10-03,133,8.25,15,14
Gintama': Enchousen,2012-10-04,264,8.38,16,15
One Punch Man,2015-10-05,22,8.73,17,16
Kaguya-hime no Monogatari,,24,7.17,18,17
Koukaku Kidoutai 2.0,,996,8.78,19,18
Nodame Cantabile: Finale - Mine to Kiyora no Saikai,,1324,7.31,20,19
Saraiya Goyou,2010-04-16,1628,8.56,21,20
Saint Seiya: Meiou Hades Meikai-hen,2005-12-17,189,8.46,22,21
Noragami OVA,2014-02-17,10,7.20,23,22
Lupin III: Part II,1977-10-03,80,7.35,24,23
"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai",,64,7.31,25,24
Kuroko no Basket 2nd Season NG-shuu,2014-01-29,475,8.41,26,25
K-On!: Live House!,,94,7.00,27,26
K-On!,2009-04-03,136,8.50,28,27
InuYasha Movie 3: Tenka Hadou no Ken,,22,7.64,29,28
Hidamari Sketch x ☆☆☆ Specials,2010-10-23,1636,7.90,30,29
Haikyuu!! Movie 2: Shousha to Haisha,,22,5.00,31,30
Gochuumon wa Usagi Desu ka??: Dear My Sister,,512,8.28,32,31
Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,,732,8.66,33,32
