userId,animeId,rating
31002,121,10
31002,1,10
31002,4181,1
1,1486,6
1,10460,6
1,1453,6
1,4789,6
1,7791,6
1,4722,6
1,338,6
1,1571,6
1,11741,6
1,721,6
1,4998,4
1,7128,3
1,11964,4
1,13151,4
1,640,3
1,3281,2
1,790,7
1,3253,2
1,3261,6
1,4151,2
1,10790,3
1,6541,5
1,13262,9
1,11961,8
1,13982,9
1,13206,8
1,12355,9
1,13535,7
1,10087,6
1,1033,6
1,7311,7
1,122,7
1,268,6
1,3702,2
1,22,6
1,1604,6
1,889,6
1,9941,6
1,8425,6
1,10162,9
1,4224,9
1,1535,9
1,263,8
1,8675,10
1,820,10
1,486,10
1,9253,10
1,1,10
1,9811,7
1,4,10
1,4181,1
1,66,1
132425,444,6
202945,14351,8
51789,1270,8
12728,6933,2
181845,12099,7
1969,13472,1
128853,389,9
311288,10652,5
210404,4874,3
26140,14865,3
95459,269,9
25716,11373,2
45759,5390,4
77051,13437,4
310994,8778,4
311263,5957,4
77051,3479,10
300779,15219,10
21571,13309,9
23797,11134,6
57823,11319,2
199490,6305,6
86603,3884,5
294451,13642,5
10397,7351,8
140121,6355,2
190267,7859,9
95269,6853,7
84433,3675,10
216537,3620,6
109445,12372,10
19005,14169,6
1733,4532,1
26987,7908,7
318473,14461,7
81400,14061,5
84433,9344,1
23797,10469,5
280542,9362,2
50735,10586,9
5730,9707,2
184515,12680,7
32847,1144,9
245518,4288,4
32847,5626,9
27841,14158,5
51859,4367,9
136039,7555,1
136039,12938,4
5576,7257,8
240705,7022,9
211599,10285,6
187814,12305,3
31378,5275,6
274527,5243,7
81400,8681,9
288662,534,4
156755,16124,10
111609,9913,1
127063,4044,8
311724,3699,6
186543,7197,7
10285,10269,1
263638,8379,5
283760,8918,8
5746,13450,9
62895,12786,8
6735,12621,7
87509,7246,6
199490,4612,10
190267,6506,7
10285,6047,2
99353,5947,6
18594,4244,6
7852,7100,6
125665,12653,1
311263,9468,8
26220,254,9
45759,10543,9
69193,7464,7
57823,5426,1
84339,6300,5
26987,3891,6
257215,13610,9
294451,10015,4
293400,5203,3
83291,11560,3
